"","taxon.name"
"1","ASV4194"
"2","ASV1700"
"3","ASV2383"
"4","ASV3171"
"5","ASV2214"
"6","ASV1407"
"7","ASV2644"
"8","ASV3435"
"9","ASV4098"
"10","ASV3987"
"11","ASV3686"
"12","ASV2363"
"13","ASV2682"
"14","ASV2727"
"15","ASV3173"
"16","ASV1769"
"17","ASV2090"
"18","ASV3321"
"19","ASV94"
"20","ASV434"
"21","ASV3776"
"22","ASV220"
"23","ASV774"
"24","ASV4134"
"25","ASV3334"
"26","ASV1939"
"27","ASV3159"
"28","ASV69"
"29","ASV1076"
"30","ASV25"
"31","ASV85"
"32","ASV1143"
"33","ASV240"
"34","ASV2325"
"35","ASV1655"
"36","ASV2063"
"37","ASV3119"
"38","ASV80"
"39","ASV23"
"40","ASV2832"
"41","ASV1067"
"42","ASV424"
"43","ASV263"
"44","ASV386"
"45","ASV70"
"46","ASV55"
"47","ASV3842"
"48","ASV2843"
"49","ASV2521"
"50","ASV2215"
"51","ASV1083"
"52","ASV4267"
"53","ASV2734"
"54","ASV3550"
"55","ASV2501"
"56","ASV4184"
"57","ASV1963"
"58","ASV2145"
"59","ASV2204"
"60","ASV1752"
"61","ASV3436"
"62","ASV2313"
"63","ASV3552"
"64","ASV3523"
"65","ASV3509"
"66","ASV4180"
"67","ASV1094"
"68","ASV2103"
"69","ASV4233"
"70","ASV2755"
"71","ASV4174"
"72","ASV3913"
"73","ASV2867"
"74","ASV4039"
"75","ASV2092"
"76","ASV3795"
"77","ASV3368"
"78","ASV4135"
"79","ASV4217"
"80","ASV2990"
"81","ASV167"
"82","ASV4069"
"83","ASV4013"
"84","ASV3242"
"85","ASV2783"
"86","ASV3852"
"87","ASV1530"
"88","ASV3569"
"89","ASV3731"
"90","ASV1905"
"91","ASV3516"
"92","ASV1606"
"93","ASV3420"
"94","ASV1735"
"95","ASV321"
"96","ASV1576"
"97","ASV1455"
"98","ASV3192"
"99","ASV4138"
"100","ASV3543"
"101","ASV3350"
"102","ASV3498"
"103","ASV4133"
"104","ASV3317"
"105","ASV2488"
"106","ASV2403"
"107","ASV2754"
"108","ASV2349"
"109","ASV3663"
"110","ASV3461"
"111","ASV3323"
"112","ASV3950"
"113","ASV2904"
"114","ASV3876"
"115","ASV2081"
"116","ASV2448"
"117","ASV4119"
"118","ASV3000"
"119","ASV2330"
"120","ASV2902"
"121","ASV3556"
"122","ASV2680"
"123","ASV1595"
"124","ASV3881"
"125","ASV2568"
"126","ASV2866"
"127","ASV3012"
"128","ASV4102"
"129","ASV1618"
"130","ASV3008"
"131","ASV4052"
"132","ASV4092"
"133","ASV2460"
"134","ASV3557"
"135","ASV1499"
"136","ASV3039"
"137","ASV3634"
"138","ASV1065"
"139","ASV45"
"140","ASV1607"
"141","ASV2826"
"142","ASV937"
"143","ASV1321"
"144","ASV2758"
"145","ASV137"
"146","ASV1995"
"147","ASV271"
"148","ASV494"
"149","ASV1924"
"150","ASV927"
"151","ASV2369"
"152","ASV4095"
"153","ASV2553"
"154","ASV3388"
"155","ASV1763"
"156","ASV2023"
"157","ASV671"
"158","ASV3033"
"159","ASV22"
"160","ASV1492"
"161","ASV2245"
"162","ASV2413"
"163","ASV1562"
"164","ASV553"
"165","ASV2371"
"166","ASV2426"
"167","ASV2042"
"168","ASV1194"
"169","ASV756"
"170","ASV3487"
"171","ASV862"
"172","ASV4216"
"173","ASV1209"
"174","ASV1263"
"175","ASV161"
"176","ASV505"
"177","ASV2194"
"178","ASV237"
"179","ASV2381"
"180","ASV2779"
"181","ASV1235"
"182","ASV1364"
"183","ASV2513"
"184","ASV2995"
"185","ASV3890"
"186","ASV4025"
"187","ASV707"
"188","ASV4043"
"189","ASV3222"
"190","ASV2761"
"191","ASV3710"
"192","ASV185"
"193","ASV2800"
"194","ASV810"
"195","ASV2057"
"196","ASV385"
"197","ASV880"
"198","ASV2619"
"199","ASV1767"
"200","ASV2268"
"201","ASV858"
"202","ASV155"
"203","ASV967"
"204","ASV943"
"205","ASV2138"
"206","ASV225"
"207","ASV987"
"208","ASV1215"
"209","ASV75"
"210","ASV2314"
"211","ASV1847"
"212","ASV1286"
"213","ASV4083"
"214","ASV1308"
"215","ASV1510"
"216","ASV3221"
"217","ASV4016"
"218","ASV1871"
"219","ASV2319"
"220","ASV2864"
"221","ASV3265"
"222","ASV3237"
"223","ASV1632"
"224","ASV2692"
"225","ASV2900"
"226","ASV1313"
"227","ASV1580"
"228","ASV489"
"229","ASV275"
"230","ASV1016"
"231","ASV1104"
"232","ASV4221"
"233","ASV4269"
"234","ASV3278"
"235","ASV3810"
"236","ASV3330"
"237","ASV453"
"238","ASV2"
"239","ASV3777"
"240","ASV3967"
"241","ASV3861"
"242","ASV3378"
"243","ASV4087"
"244","ASV2561"
"245","ASV1503"
"246","ASV213"
"247","ASV3629"
"248","ASV4034"
"249","ASV1221"
"250","ASV1282"
"251","ASV4059"
"252","ASV1665"
"253","ASV26"
"254","ASV5"
"255","ASV915"
"256","ASV32"
"257","ASV82"
"258","ASV3681"
"259","ASV2131"
"260","ASV2596"
"261","ASV1057"
"262","ASV611"
"263","ASV1564"
"264","ASV1481"
"265","ASV3294"
"266","ASV177"
"267","ASV3304"
"268","ASV3320"
"269","ASV1020"
"270","ASV793"
"271","ASV207"
"272","ASV1992"
"273","ASV1921"
"274","ASV1078"
"275","ASV2228"
"276","ASV1174"
"277","ASV656"
"278","ASV784"
"279","ASV2102"
"280","ASV4077"
"281","ASV2905"
"282","ASV4155"
"283","ASV2658"
"284","ASV3209"
"285","ASV1535"
"286","ASV2795"
"287","ASV3841"
"288","ASV1724"
"289","ASV2129"
"290","ASV4261"
"291","ASV4037"
"292","ASV3139"
"293","ASV2628"
"294","ASV2225"
"295","ASV2370"
"296","ASV430"
"297","ASV1049"
"298","ASV2427"
"299","ASV615"
"300","ASV2148"
"301","ASV1298"
"302","ASV2261"
"303","ASV3627"
"304","ASV4116"
"305","ASV2055"
"306","ASV3765"
"307","ASV2276"
"308","ASV252"
"309","ASV1090"
"310","ASV2198"
"311","ASV643"
"312","ASV1026"
"313","ASV2817"
"314","ASV1"
"315","ASV104"
"316","ASV4"
"317","ASV776"
"318","ASV983"
"319","ASV3677"
"320","ASV2764"
"321","ASV1833"
"322","ASV2045"
"323","ASV366"
"324","ASV96"
"325","ASV783"
"326","ASV1184"
"327","ASV955"
"328","ASV209"
"329","ASV2197"
"330","ASV439"
"331","ASV3943"
"332","ASV875"
"333","ASV2749"
"334","ASV1633"
"335","ASV678"
"336","ASV570"
"337","ASV1971"
"338","ASV3214"
"339","ASV766"
"340","ASV3359"
"341","ASV921"
"342","ASV2958"
"343","ASV1344"
"344","ASV292"
"345","ASV3601"
"346","ASV540"
"347","ASV1240"
"348","ASV251"
"349","ASV93"
"350","ASV1532"
"351","ASV1979"
"352","ASV1636"
"353","ASV2740"
"354","ASV1961"
"355","ASV236"
"356","ASV546"
"357","ASV2084"
"358","ASV393"
"359","ASV735"
"360","ASV42"
"361","ASV337"
"362","ASV3193"
"363","ASV3257"
"364","ASV565"
"365","ASV4051"
"366","ASV147"
"367","ASV984"
"368","ASV257"
"369","ASV1436"
"370","ASV15"
"371","ASV30"
"372","ASV40"
"373","ASV43"
"374","ASV1528"
"375","ASV2111"
"376","ASV1088"
"377","ASV2496"
"378","ASV3201"
"379","ASV3198"
"380","ASV3588"
"381","ASV3372"
"382","ASV1696"
"383","ASV41"
"384","ASV11"
"385","ASV142"
"386","ASV2394"
"387","ASV1261"
"388","ASV716"
"389","ASV78"
"390","ASV3157"
"391","ASV4238"
"392","ASV3768"
"393","ASV3302"
"394","ASV3371"
"395","ASV3979"
"396","ASV3447"
"397","ASV4246"
"398","ASV2320"
"399","ASV3809"
"400","ASV459"
"401","ASV355"
"402","ASV584"
"403","ASV2398"
"404","ASV2924"
"405","ASV202"
"406","ASV1888"
"407","ASV1699"
"408","ASV2049"
"409","ASV762"
"410","ASV2638"
"411","ASV893"
"412","ASV1544"
"413","ASV1357"
"414","ASV4182"
"415","ASV2140"
"416","ASV2721"
"417","ASV2654"
"418","ASV63"
"419","ASV1150"
"420","ASV1582"
"421","ASV201"
"422","ASV491"
"423","ASV703"
"424","ASV871"
"425","ASV3279"
"426","ASV276"
"427","ASV249"
"428","ASV1821"
"429","ASV7"
"430","ASV861"
"431","ASV4214"
"432","ASV1822"
"433","ASV247"
"434","ASV3947"
"435","ASV1405"
"436","ASV2537"
"437","ASV3678"
"438","ASV4130"
"439","ASV260"
"440","ASV2971"
"441","ASV4111"
"442","ASV8"
"443","ASV3492"
"444","ASV1066"
"445","ASV2907"
"446","ASV1440"
"447","ASV2036"
"448","ASV989"
"449","ASV502"
"450","ASV2776"
"451","ASV1124"
"452","ASV1266"
"453","ASV2056"
"454","ASV377"
"455","ASV558"
"456","ASV59"
"457","ASV4123"
"458","ASV882"
"459","ASV1980"
"460","ASV636"
"461","ASV1756"
"462","ASV1265"
"463","ASV1419"
"464","ASV2041"
"465","ASV157"
"466","ASV6"
"467","ASV991"
"468","ASV1187"
"469","ASV1195"
"470","ASV1990"
"471","ASV1170"
"472","ASV274"
"473","ASV4249"
"474","ASV2382"
"475","ASV2959"
"476","ASV2508"
"477","ASV3341"
"478","ASV450"
"479","ASV1708"
"480","ASV4177"
"481","ASV2633"
"482","ASV2746"
"483","ASV2353"
"484","ASV2113"
"485","ASV3303"
"486","ASV1644"
"487","ASV315"
"488","ASV438"
"489","ASV2690"
"490","ASV3814"
"491","ASV2989"
"492","ASV3816"
"493","ASV1993"
"494","ASV1738"
"495","ASV2442"
"496","ASV2611"
"497","ASV2870"
"498","ASV1120"
"499","ASV2110"
"500","ASV3633"
"501","ASV1381"
"502","ASV9"
"503","ASV3502"
"504","ASV3704"
"505","ASV4234"
"506","ASV4061"
"507","ASV4055"
"508","ASV4080"
"509","ASV1748"
"510","ASV1904"
"511","ASV183"
"512","ASV1237"
"513","ASV1473"
"514","ASV957"
"515","ASV3247"
"516","ASV3823"
"517","ASV277"
"518","ASV4160"
"519","ASV3"
"520","ASV3425"
"521","ASV2747"
"522","ASV476"
"523","ASV1218"
"524","ASV564"
"525","ASV2395"
"526","ASV1352"
"527","ASV122"
"528","ASV2822"
"529","ASV38"
"530","ASV513"
"531","ASV2436"
"532","ASV691"
"533","ASV3188"
"534","ASV1192"
"535","ASV2997"
"536","ASV3238"
"537","ASV3547"
"538","ASV403"
"539","ASV400"
"540","ASV2177"
"541","ASV3736"
"542","ASV3617"
"543","ASV10"
"544","ASV19"
"545","ASV254"
"546","ASV278"
"547","ASV1810"
"548","ASV3525"
"549","ASV2917"
"550","ASV105"
"551","ASV1233"
"552","ASV421"
"553","ASV101"
"554","ASV1007"
"555","ASV1245"
"556","ASV1341"
"557","ASV160"
"558","ASV172"
"559","ASV184"
"560","ASV1885"
"561","ASV219"
"562","ASV248"
"563","ASV304"
"564","ASV33"
"565","ASV792"
"566","ASV820"
"567","ASV906"
"568","ASV3254"
"569","ASV97"
"570","ASV50"
"571","ASV640"
"572","ASV588"
"573","ASV1827"
"574","ASV1577"
"575","ASV1604"
"576","ASV2186"
"577","ASV544"
"578","ASV658"
"579","ASV467"
"580","ASV528"
"581","ASV533"
"582","ASV1304"
"583","ASV242"
"584","ASV2155"
"585","ASV406"
"586","ASV549"
"587","ASV1446"
"588","ASV139"
"589","ASV173"
"590","ASV196"
"591","ASV1294"
"592","ASV235"
"593","ASV90"
"594","ASV1175"
"595","ASV164"
"596","ASV368"
"597","ASV1583"
"598","ASV473"
"599","ASV779"
"600","ASV1121"
"601","ASV812"
"602","ASV4272"
"603","ASV763"
"604","ASV4008"
"605","ASV2798"
"606","ASV1244"
"607","ASV2253"
"608","ASV1520"
"609","ASV2702"
"610","ASV1493"
"611","ASV1987"
"612","ASV1715"
"613","ASV1335"
"614","ASV627"
"615","ASV1279"
"616","ASV1019"
"617","ASV180"
"618","ASV3887"
"619","ASV1031"
"620","ASV1533"
"621","ASV667"
"622","ASV602"
"623","ASV1927"
"624","ASV596"
"625","ASV697"
"626","ASV2312"
"627","ASV445"
"628","ASV52"
"629","ASV1054"
"630","ASV243"
"631","ASV1006"
"632","ASV2481"
"633","ASV483"
"634","ASV969"
"635","ASV3654"
"636","ASV1048"
"637","ASV372"
"638","ASV436"
"639","ASV609"
"640","ASV2093"
"641","ASV1040"
"642","ASV1043"
"643","ASV568"
"644","ASV1197"
"645","ASV1831"
"646","ASV845"
"647","ASV702"
"648","ASV2043"
"649","ASV857"
"650","ASV169"
"651","ASV2838"
"652","ASV397"
"653","ASV1514"
"654","ASV2945"
"655","ASV3952"
"656","ASV1348"
"657","ASV1122"
"658","ASV767"
"659","ASV492"
"660","ASV1531"
"661","ASV2809"
"662","ASV612"
"663","ASV192"
"664","ASV311"
"665","ASV1512"
"666","ASV2724"
"667","ASV444"
"668","ASV212"
"669","ASV1312"
"670","ASV786"
"671","ASV291"
"672","ASV2440"
"673","ASV1470"
"674","ASV118"
"675","ASV308"
"676","ASV606"
"677","ASV210"
"678","ASV992"
"679","ASV1323"
"680","ASV592"
"681","ASV283"
"682","ASV594"
"683","ASV3276"
"684","ASV1053"
"685","ASV417"
"686","ASV1402"
"687","ASV369"
"688","ASV999"
"689","ASV714"
"690","ASV1008"
"691","ASV1653"
"692","ASV877"
"693","ASV106"
"694","ASV3808"
"695","ASV1486"
"696","ASV1602"
"697","ASV2536"
"698","ASV3599"
"699","ASV2691"
"700","ASV3652"
"701","ASV238"
"702","ASV1136"
"703","ASV472"
"704","ASV4012"
"705","ASV3399"
"706","ASV3028"
"707","ASV950"
"708","ASV456"
"709","ASV409"
"710","ASV379"
"711","ASV3504"
"712","ASV1326"
"713","ASV3827"
"714","ASV1879"
"715","ASV924"
"716","ASV1098"
"717","ASV175"
"718","ASV1238"
"719","ASV699"
"720","ASV1042"
"721","ASV199"
"722","ASV333"
"723","ASV642"
"724","ASV993"
"725","ASV1443"
"726","ASV1462"
"727","ASV1285"
"728","ASV2450"
"729","ASV510"
"730","ASV746"
"731","ASV2160"
"732","ASV1660"
"733","ASV2048"
"734","ASV931"
"735","ASV631"
"736","ASV608"
"737","ASV2259"
"738","ASV2499"
"739","ASV1550"
"740","ASV1208"
"741","ASV1292"
"742","ASV1404"
"743","ASV2591"
"744","ASV458"
"745","ASV556"
"746","ASV3721"
"747","ASV563"
"748","ASV2844"
"749","ASV89"
"750","ASV939"
"751","ASV1645"
"752","ASV186"
"753","ASV628"
"754","ASV218"
"755","ASV463"
"756","ASV166"
"757","ASV1336"
"758","ASV289"
"759","ASV244"
"760","ASV1319"
"761","ASV2139"
"762","ASV1875"
"763","ASV1886"
"764","ASV3911"
"765","ASV996"
"766","ASV107"
"767","ASV432"
"768","ASV74"
"769","ASV1802"
"770","ASV323"
"771","ASV178"
"772","ASV344"
"773","ASV1144"
"774","ASV1899"
"775","ASV645"
"776","ASV224"
"777","ASV383"
"778","ASV95"
"779","ASV2617"
"780","ASV604"
"781","ASV1848"
"782","ASV395"
"783","ASV2505"
"784","ASV1546"
"785","ASV2072"
"786","ASV721"
"787","ASV1938"
"788","ASV1534"
"789","ASV3179"
"790","ASV1154"
"791","ASV1931"
"792","ASV2443"
"793","ASV1180"
"794","ASV1131"
"795","ASV1828"
"796","ASV2556"
"797","ASV958"
"798","ASV330"
"799","ASV1117"
"800","ASV1682"
"801","ASV1790"
"802","ASV2166"
"803","ASV61"
"804","ASV899"
"805","ASV2318"
"806","ASV1164"
"807","ASV2329"
"808","ASV1284"
"809","ASV416"
"810","ASV255"
"811","ASV745"
"812","ASV2028"
"813","ASV286"
"814","ASV3583"
"815","ASV1011"
"816","ASV1264"
"817","ASV749"
"818","ASV501"
"819","ASV1444"
"820","ASV641"
"821","ASV863"
"822","ASV3336"
"823","ASV1540"
"824","ASV1829"
"825","ASV2515"
"826","ASV398"
"827","ASV550"
"828","ASV526"
"829","ASV759"
"830","ASV1044"
"831","ASV2466"
"832","ASV809"
"833","ASV557"
"834","ASV1728"
"835","ASV2086"
"836","ASV348"
"837","ASV1969"
"838","ASV2737"
"839","ASV1788"
"840","ASV566"
"841","ASV149"
"842","ASV230"
"843","ASV2074"
"844","ASV204"
"845","ASV747"
"846","ASV229"
"847","ASV1614"
"848","ASV140"
"849","ASV66"
"850","ASV1378"
"851","ASV190"
"852","ASV517"
"853","ASV36"
"854","ASV217"
"855","ASV2096"
"856","ASV35"
"857","ASV1819"
"858","ASV295"
"859","ASV1680"
"860","ASV222"
"861","ASV1004"
"862","ASV427"
"863","ASV143"
"864","ASV187"
"865","ASV133"
"866","ASV228"
"867","ASV657"
"868","ASV3746"
"869","ASV1916"
"870","ASV1768"
"871","ASV3700"
"872","ASV234"
"873","ASV2178"
"874","ASV610"
"875","ASV1058"
"876","ASV4091"
"877","ASV659"
"878","ASV1461"
"879","ASV1182"
"880","ASV3773"
"881","ASV1379"
"882","ASV1205"
"883","ASV1523"
"884","ASV1720"
"885","ASV253"
"886","ASV1241"
"887","ASV770"
"888","ASV629"
"889","ASV370"
"890","ASV329"
"891","ASV266"
"892","ASV3052"
"893","ASV150"
"894","ASV1331"
"895","ASV1420"
"896","ASV3692"
"897","ASV844"
"898","ASV1515"
"899","ASV2549"
"900","ASV382"
"901","ASV1846"
"902","ASV1093"
"903","ASV1679"
"904","ASV962"
"905","ASV695"
"906","ASV772"
"907","ASV887"
"908","ASV2854"
"909","ASV1539"
"910","ASV1623"
"911","ASV1191"
"912","ASV1750"
"913","ASV864"
"914","ASV1590"
"915","ASV635"
"916","ASV2293"
"917","ASV586"
"918","ASV567"
"919","ASV1072"
"920","ASV1780"
"921","ASV1867"
"922","ASV208"
"923","ASV598"
"924","ASV1551"
"925","ASV532"
"926","ASV2277"
"927","ASV1337"
"928","ASV607"
"929","ASV1207"
"930","ASV1247"
"931","ASV571"
"932","ASV605"
"933","ASV669"
"934","ASV925"
"935","ASV1373"
"936","ASV2985"
"937","ASV1085"
"938","ASV402"
"939","ASV2736"
"940","ASV737"
"941","ASV1306"
"942","ASV922"
"943","ASV2000"
"944","ASV1322"
"945","ASV1038"
"946","ASV529"
"947","ASV2773"
"948","ASV1805"
"949","ASV340"
"950","ASV2624"
"951","ASV250"
"952","ASV3524"
"953","ASV630"
"954","ASV312"
"955","ASV1005"
"956","ASV4128"
"957","ASV1123"
"958","ASV3228"
"959","ASV2647"
"960","ASV3212"
"961","ASV2402"
"962","ASV1130"
"963","ASV3078"
"964","ASV313"
"965","ASV3462"
"966","ASV4132"
"967","ASV1454"
"968","ASV1077"
"969","ASV1783"
"970","ASV3346"
"971","ASV1416"
"972","ASV1141"
"973","ASV1287"
"974","ASV490"
"975","ASV2171"
"976","ASV2289"
"977","ASV3381"
"978","ASV686"
"979","ASV3953"
"980","ASV829"
"981","ASV2850"
"982","ASV2087"
"983","ASV2428"
"984","ASV2786"
"985","ASV4082"
"986","ASV3833"
"987","ASV3897"
"988","ASV3618"
"989","ASV3145"
"990","ASV3962"
"991","ASV3432"
"992","ASV2640"
